slug,sequence,url
tesla-model-s-2020,1,https://images.versus.io/objects/tesla-model-s-2020.front.master2x.1655475217772.webp
tesla-model-s-2020,2,https://topgear.tokyo/wp-content/uploads/2021/08/Tesla-Model-S-Plaid-3-980x551.jpg
porche-918-spyder-2015,1,https://images.versus.io/objects/porsche-918-spyder-2015.front.master2x.1576684641045.webp
porche-918-spyder-2015,2,https://i.pinimg.com/736x/d8/f1/ab/d8f1ab7897e13b911a65050b3f159d50.jpg
toyota-gr-supra-3.0,1,https://images.versus.io/objects/toyota-gr-supra-3-0-2023.front.master2x.1653932702781.webp
toyota-gr-supra-3.0,2,https://manofmany.com/wp-content/uploads/2022/05/2023-Toyota-GR-Supra-2-1200x900.jpg
nissan-z-sport-2023,1,https://images.versus.io/objects/nissan-z-sport-2023.front.master2x.1653387549491.webp
nissan-z-sport-2023,2,https://cdn-webcartop.com/wp-content/uploads/2021/09/2023-Nissan-Z-U.S.-market-Performance-grade_005-source.jpg
lamborghini-urus-2019,1,https://images.versus.io/objects/lamborghini-urus-2019.front.master2x.1576684641045.webp
lamborghini-urus-2019,2,https://www.lamborghini.com/sites/it-en/files/DAM/lamborghini/news/2022/02_08_urus_sky/paragraph_m.jpg
