slug,sequence,url
iphone-13,1,https://images.versus.io/objects/apple-iphone-13.front.master2x.1631694414000.webp
iphone-13,2,https://kddi-h.assetsadobe3.com/is/image/content/dam/au-com/extlib/iphone/product/iphone-13-pro/images/slider/iPhone_13_Pro_Green_01.jpg?scl=1&qlt=90
xiomi-12s-ultra,1,https://images.versus.io/objects/xiaomi-12s-ultra.front.master2x.1657118136892.webp
xiomi-12s-ultra,2,https://simtaro.com/wp-content/uploads/2022/07/Xiaomi-12S-Ultra-21-1.jpg
samsung_galaxy-s22-ultra,1,https://images.versus.io/objects/samsung-galaxy-s22-ultra.front.master2x.1646341961226.webp
samsung_galaxy-s22-ultra,2,https://i.expansys.net/img/b/371201/samsung-galaxy-s22-ultra-5g-dual-sim.jpg
xiaomi-mi-11-pro,1,https://images.versus.io/objects/xiaomi-mi-11-pro.front.master2x.1646342908789.webp
xiaomi-mi-11-pro,2,https://m.media-amazon.com/images/I/61Vl0l5r9hL._AC_SX522_.jpg
google-pixcel-6,1,https://images.versus.io/objects/google-pixel-6.front.master2x.1634674732794.webp
google-pixcel-6,2,https://m.media-amazon.com/images/I/71QQZr2pNSL._AC_SS450_.jpg
